Mercado Secundário de Debêntures - Gerado em 12/02/2025 11:42:23

Data	Emissor	Código do Ativo	ISIN	Quantidade	Número de Negócios	PU Mínimo	PU Médio	PU Máximo	% PU da Curva
11/2/2025	ALLIANCA SAUDE E PARTICIPACOES S.A.	AALR13	BRAALRDBS057	19646	14	830,447979	830,489503	830,531027	87,98
11/2/2025	ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.	ACRC21	BRACRCDBS011	7000	2	978,071999	978,106232	978,140464	91,99
11/2/2025	AES CAJUINA AB1 HOLDINGS S.A.	AEAB11	BRAEABDBS007	283	10	1.014,672987	1.049,568488	1.082,838650	90,04
11/2/2025	EQUIPAV SANEAMENTO S.A.	AEGE17	BRAEGEDBS065	1262	4	1.024,627669	1.024,737083	1.024,846496	99,51
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGP19	BRAEGPDBS079	25316	17	1.043,064006	1.049,408391	1.051,462671	100,34
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGPA0	BRAEGPDBS087	1373	19	981,384718	989,236107	1.047,775023	95,46
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGPA3	BRAEGPDBS0A0	348	4	1.064,192916	1.064,192916	1.064,192916	100,65
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGPA4	BRAEGPDBS0B8	13996	10	1.063,357475	1.063,725288	1.064,778897	102,37
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGPA8	BRAEGPDBS0E2	464	13	983,244770	994,119363	1.009,510371	98,28
11/2/2025	AEGEA SANEAMENTO E PARTICIPACOES S/A	AEGPB7	BRAEGPDBS0D4	280	2	1.076,584136	1.076,584136	1.076,584136	101,84
11/2/2025	RGE SUL DISTRIBUIDORA DE ENERGIA S/A	AESL17	BRAESLDBS008	1740	5	729,876719	730,070074	730,187607	139,18
11/2/2025	RGE SUL DISTRIBUIDORA DE ENERGIA S/A	AESLA7	BRAESLDBS0R4	142	2	959,783737	970,122693	980,461649	92,34
11/2/2025	RGE SUL DISTRIBUIDORA DE ENERGIA S/A	AESLB7	BRAESLDBS0S2	50	1	920,851526	920,851526	920,851526	87,63
11/2/2025	AES BRASIL OPERACOES S.A.	AESOA1	BRAESODBS010	270	3	1.024,232371	1.024,232371	1.024,232371	93,94
11/2/2025	ATHON GERACAO DISTRIBUIDA S/A	AHGD13	BRAHGDDBS011	550000	2	0,973818	0,973852	0,973886	95,82
11/2/2025	TRIPLE PLAY BRASIL PARTICIPACOES S.A.	ALAR13	BRALARDBS008	100	12	851,147694	940,592840	996,632931	91,18
11/2/2025	ALGAR TELECOM S.A.	ALGA27	BRALGTDBS076	4	1	733,841565	733,841565	733,841565	99,72
11/2/2025	ALGAR TELECOM S.A.	ALGAB1	BRALGTDBS0F6	1488	4	1.056,258461	1.059,993468	1.085,462974	86,45
11/2/2025	ALGAR TELECOM S.A.	ALGTA4	BRALGTDBS0K6	1016	1	952,057944	952,057944	952,057944	88,92
11/2/2025	ALIANCA GERACAO DE ENERGIA S/A	ALIG15	BRALGEDBS045	776	2	973,634972	974,586450	980,803390	93,51
11/2/2025	ALUBAR METAIS E CABOS S.A	ALMC12	BRALMCDBS005	7	3	786,578911	786,578911	786,578911	102,00
11/2/2025	ALLPARK EMPREENDIMENTOS PARTICIPACOES E SERVICOS S/A	ALPKA2	BRALPKDBS092	3400	2	1.029,972040	1.029,992640	1.030,013240	99,99
11/2/2025	ALUPAR INVESTIMENTO S/A	ALUP18	BRALUPDBS0C9	284098	57	956,196931	956,458047	978,273418	92,38
11/2/2025	AMERICANAS S.A. - EM RECUPERACAO JUDICIAL	AMERG2	BRAMERDBS0H5	1338	4	39,123920	39,123920	39,123920	ND
11/2/2025	ANIMA HOLDING S/A	ANIM15	BRANIMDBS040	3396	2	1.031,114745	1.031,135368	1.031,155991	100,02
11/2/2025	AUTOPISTA FERNAO DIAS S/A	APFD19	BRAPFDDBS032	26	2	1.072,511748	1.084,661207	1.096,810666	94,51
11/2/2025	AUTOPISTA PLANALTO SUL S/A	APPSB2	BRAPPSDBS039	2642	2	1.059,991686	1.060,044688	1.060,097690	100,59
11/2/2025	AUTOPISTA REGIS BITTENCOURT S/A	APRB18	BRAPRBDBS015	146	3	1.194,569209	1.197,530702	1.199,596860	85,48
11/2/2025	ARTERIS S.A.	ARTR19	BRARTRDBS070	88	5	1.261,832158	1.266,463641	1.271,017211	94,99
11/2/2025	ARTERIS S.A.	ARTRA5	BRARTRDBS0B6	450	2	1.051,132664	1.051,281172	1.051,429680	100,65
11/2/2025	SENDAS  DISTRIBUIDORA S/A	ASAI22	BRASAIDBS044	2780	8	1.034,668600	1.034,676379	1.034,684120	100,46
11/2/2025	SENDAS  DISTRIBUIDORA S/A	ASAIA1	BRASAIDBS0A9	57	1	1.049,582928	1.049,582928	1.049,582928	100,45
11/2/2025	CONCESSIONARIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A - ECOPISTAS	ASCP13	BRASCPDBS045	40	3	1.070,803655	1.071,225969	1.079,249929	100,30
11/2/2025	AGUAS DO SERTAO S.A.	ASER12	BRASERDBS013	3894	5	1.009,277574	1.009,487525	1.071,431451	95,50
11/2/2025	AUTOGERACAO SOLAR HOLDING S.A	ASHS11	BRASHSDBS006	963	3	994,177030	994,324403	994,398090	99,80
11/2/2025	ATHON GERACAO DISTRIBUIDA III S.A.	ATHT11	BRATHTDBS002	550000	2	0,973818	0,973852	0,973886	95,82
11/2/2025	ATHON GERACAO DISTRIBUIDA II S.A.	ATII12	BRATIIDBS011	550000	2	0,973818	0,973852	0,973886	95,82
11/2/2025	AUREN ENERGIA S.A.	AURE14	BRAUREDBS035	19350	10	1.045,597307	1.045,597307	1.045,597307	100,97
11/2/2025	BONFIM GERACAO E COMERCIO DE ENERGIA SPE S/A	BGCE12	BRBGCEDBS026	810	2	1.189,666334	1.189,725820	1.189,785306	84,07
11/2/2025	BARREIRAS HOLDING S.A.	BHSA11	BRBHSADBS002	8	2	982,529243	996,229716	1.009,930189	90,54
11/2/2025	BIOMETANO VERDE PAULINIA SA	BIOP11	BRBIOPDBS007	130	2	1.039,094288	1.039,094288	1.039,094288	100,00
11/2/2025	BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.	BLMN12	BRBLMNDBS026	3178	7	1.162,064621	1.172,194682	1.187,548573	98,53
11/2/2025	BRASKEM S/A	BRKMA6	BRBRKMDBS0A1	994	5	973,280124	989,411144	989,608264	95,87
11/2/2025	BRASKEM S/A	BRKMB8	BRBRKMDBS0E3	986	3	984,194063	984,194063	984,194063	95,27
11/2/2025	BRK AMBIENTAL PARTICIPACOES S/A	BRKP28	BRBRKPDBS055	31	4	1.101,993070	1.103,347733	1.119,310138	81,67
11/2/2025	BRK AMBIENTAL PARTICIPACOES S/A	BRKPA0	BRBRKPDBS071	1446	5	1.047,813912	1.048,047180	1.048,430124	100,39
11/2/2025	BRISANET SERVICOS DE TELECOMUNICACOES S.A.	BRST11	BRBRSTDBS001	1545	12	1.237,702475	1.245,401907	1.252,308146	97,28
11/2/2025	V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A.	BTEL12	BRBTELDBS004	11046	32	1.022,016330	1.023,731717	1.023,989530	100,01
11/2/2025	BTG PACTUAL HOLDING S.A.	BTGH18	BRBTGHDBS049	11784	4	1.023,380321	1.023,887477	1.024,277623	100,28
11/2/2025	BORRACHAS VIPAL S.A.	BVPL11	BRBVPLDBS006	1146	4	916,987441	917,110478	917,172451	101,39
11/2/2025	COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE	CAEC21	BRCAECDBS019	4073	3	1.177,255727	1.205,365098	1.206,082226	93,94
11/2/2025	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	CART13	BRRPTADBS033	330	2	11.186,198762	11.186,758100	11.187,317438	94,48
11/2/2025	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	CASN23	BRCASNDBS065	2176	4	1.074,383722	1.079,080140	1.079,544110	99,85
11/2/2025	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN12	BRCRBDDBS025	1035	11	1.259,387669	1.271,805325	1.273,138418	85,06
11/2/2025	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN32	BRCRBDDBS041	800	2	1.295,527990	1.295,683598	1.295,839205	86,30
11/2/2025	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN52	BRCRBDDBS066	80	4	1.278,396070	1.281,043182	1.287,603417	85,32
11/2/2025	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	CBAN72	BRCRBDDBS082	14	2	1.278,396070	1.284,091706	1.286,369960	85,52
11/2/2025	COMPANHIA BRASILEIRA DE DISTRIBUICAO	CBRDA8	BRPCARDBS0E1	2569	16	981,068260	984,963106	985,253739	95,40
